"","restoration","conservation","climatechange","invasion"
"acta amazonica",1,7,4,0
"acta oecologica-international journal of ecology",26,66,39,108
"african journal of ecology",13,137,12,24
"african journal of range & forage science",5,6,4,9
"african journal of wildlife research",0,47,1,3
"agriculture ecosystems & environment",80,314,173,28
"amazoniana-limnologia et oecologia regionalis systemae fluminis amazonas",0,0,0,1
"american midland naturalist",26,33,1,49
"american naturalist",3,66,48,112
"animal conservation",23,330,22,53
"annales zoologici fennici",1,12,3,13
"annual review of ecology evolution and systematics",3,27,4,13
"applied ecology and environmental research",12,35,55,19
"applied vegetation science",231,101,25,78
"aquatic ecology",12,9,17,48
"aquatic ecosystem health & management",10,19,9,9
"aquatic invasions",2,8,6,281
"aquatic microbial ecology",1,0,9,0
"arthropod-plant interactions",1,6,6,25
"austral ecology",39,105,60,158
"avian conservation and ecology",0,18,3,1
"basic and applied ecology",48,76,27,74
"behavioral ecology",0,18,8,32
"behavioral ecology and sociobiology",0,11,11,18
"biochemical systematics and ecology",3,129,3,26
"biodiversity and conservation",125,1522,104,148
"biogeosciences",11,4,39,5
"biological conservation",345,2653,216,345
"biological invasions",50,72,61,2107
"biology letters",5,56,107,58
"biotropica",42,150,32,53
"bmc ecology",2,8,13,18
"bosque",18,22,6,13
"bulletin of the peabody museum of natural history",0,2,1,3
"canadian field-naturalist",5,35,10,27
"chemistry and ecology",3,4,5,3
"chemoecology",0,2,0,15
"colonial waterbirds",2,14,0,0
"community ecology",6,23,7,14
"compost science & utilization",2,1,0,2
"conservation biology",109,1416,119,179
"conservation physiology",1,35,22,16
"contemporary problems of ecology",1,2,10,8
"current opinion in insect science",1,4,10,1
"diversity and distributions",16,375,142,465
"ecography",6,40,50,64
"ecohealth",2,34,30,16
"ecohydrology",36,9,66,15
"ecological applications",281,458,236,319
"ecological complexity",3,17,18,15
"ecological economics",43,303,211,57
"ecological engineering",605,93,57,55
"ecological informatics",7,28,30,24
"ecological management & restoration",33,11,2,6
"ecological modelling",58,136,250,118
"ecological monographs",4,17,55,29
"ecological research",22,50,39,58
"ecology",43,127,284,421
"ecology and evolution",27,198,225,204
"ecology and society",46,155,106,13
"ecology letters",23,145,169,196
"eco mont-journal on protected mountain areas research",3,16,4,1
"ecoscience",22,23,34,44
"ecosphere",73,106,214,132
"ecosystems",51,20,157,64
"ecosystem services",17,61,14,1
"ecotoxicology",11,6,9,9
"ekologia-bratislava",1,3,3,1
"ekoloji",2,7,0,0
"environmental biology of fishes",16,127,15,51
"european journal of soil biology",14,8,10,9
"european journal of wildlife research",2,112,3,63
"evolution",6,71,38,56
"evolutionary ecology",0,19,13,29
"evolutionary ecology research",2,21,21,40
"fire ecology",17,3,4,6
"flora",16,44,20,50
"freshwater biology",3,2,10,9
"freshwater science",42,56,42,56
"frontiers in ecology and the environment",23,71,29,48
"functional ecology",9,43,125,80
"fungal ecology",1,30,16,15
"global change biology",16,100,1560,107
"global ecology and biogeography",6,132,199,97
"heredity",9,100,6,44
"human-wildlife interactions",1,8,0,0
"interciencia",10,55,6,6
"international journal of sustainable development and world ecology",11,72,41,1
"isme journal",2,17,15,19
"israel journal of ecology & evolution",5,21,4,11
"journal for nature conservation",35,279,13,28
"journal of animal ecology",8,60,115,60
"journal of applied ecology",330,556,115,280
"journal of arid environments",117,140,113,103
"journal of biogeography",8,282,243,136
"journal of biological dynamics",0,1,1,6
"journal of chemical ecology",2,19,8,103
"journal of ecology",30,94,170,233
"journal of evolutionary biology",8,43,28,54
"journal of experimental marine biology and ecology",34,48,96,138
"journal of fish and wildlife management",8,32,7,9
"journal of freshwater ecology",9,8,6,32
"journal of natural history",0,54,7,27
"journal of plant ecology",8,12,22,41
"journal of plant interactions",2,3,1,8
"journal of soil and water conservation",34,331,26,3
"journal of tropical ecology",4,19,8,35
"journal of vegetation science",50,55,90,113
"journal of wildlife management",51,192,15,89
"landscape and ecological engineering",27,19,4,11
"landscape and urban planning",77,237,48,17
"landscape ecology",57,173,93,69
"marine biology research",6,7,13,18
"marine ecology progress series",81,172,290,270
"methods in ecology and evolution",3,50,35,38
"microbial ecology",5,5,5,12
"molecular ecology",17,546,143,347
"molecular ecology resources",5,216,2,154
"natural areas journal",100,157,20,119
"nature ecology & evolution",0,5,2,4
"new zealand journal of ecology",39,74,5,84
"northeastern naturalist",5,18,5,29
"northwest environmental journal",3,0,5,0
"northwest science",25,16,6,24
"oecologia",36,76,264,355
"ohio journal of science",3,1,0,3
"oikos",2,30,25,126
"oryx",15,519,17,34
"paleobiology",0,4,6,8
"pedobiologia",11,7,9,15
"perspectives in plant ecology evolution and systematics",7,21,24,49
"phytocoenologia",6,16,9,6
"plant ecology",88,80,95,261
"plant species biology",7,29,1,22
"polar biology",2,15,120,29
"polar record",0,1,7,0
"polar research",1,6,40,4
"polar science",0,0,9,2
"polish journal of ecology",17,31,17,32
"polish polar research",0,0,6,2
"population ecology",3,38,19,50
"proceedings of the academy of natural sciences of philadelphia",1,1,0,1
"proceedings of the linnean society of new south wales",1,7,2,2
"rangeland ecology & management",121,55,21,135
"rangeland journal",21,32,27,25
"regional studies in marine science",5,3,2,1
"restoration ecology",1300,85,23,147
"revista chilena de historia natural",4,66,9,29
"revue d ecologie-la terre et la vie",4,27,0,17
"russian journal of ecology",8,12,21,15
"southeastern naturalist",10,18,1,17
"southwestern naturalist",7,27,0,16
"texas journal of science",2,3,0,3
"theoretical ecology",1,5,7,26
"theoretical population biology",0,6,3,53
"trends in ecology & evolution",19,144,42,65
"tropical ecology",10,34,7,17
"urban ecosystems",9,34,3,20
"vie et milieu-life and environment",3,11,2,9
"western north american naturalist",20,31,4,42
"wetlands",263,73,44,94
"wildlife biology",6,34,7,14
"wildlife monographs",2,0,1,1
"wildlife research",13,111,17,58
